epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
1,1.512714572263843,0.4692086626295802,0.9593067123773769,0.6132532902332025,0.001
2,0.8218151839939608,0.6573693934106538,0.6467905312232953,0.748787808820134,0.001
3,0.6222410820157672,0.7602637791234733,0.5387250795647334,0.8048949434310783,0.001
4,0.5515991062014595,0.7944934825002566,0.4401815746197164,0.8189794504733318,0.001
5,0.46022162244242343,0.8159447808683157,0.39642087090954004,0.8229046409605172,0.001
6,0.406051918602719,0.8316483629272298,0.3620562075852962,0.8450704225352113,0.001
7,0.3738764979126492,0.8464025454172226,0.49950490994806845,0.7753405679981529,0.001
8,0.3935806206776892,0.8363953607718362,0.3454667265105264,0.8549988455322096,0.001
9,0.36684681157960325,0.8479421122857436,0.3244669459565796,0.8628492265065805,0.001
10,0.35888502637390285,0.8476598583598481,0.31069585329334115,0.8596167166936043,0.001
11,0.3482630384276685,0.8490711279893257,0.33843298782462256,0.8533825906257215,0.001
12,0.33628962233388837,0.8551267576721749,0.3955557040269808,0.8238282151927961,0.001
13,0.33665751613753786,0.8496869547367341,0.2990484424116044,0.864927268529208,0.001
14,0.32093994114955177,0.8595401826952684,0.3065842505870419,0.8607711844839528,0.001
15,0.31968303731514863,0.8591809504259469,0.30492970034311506,0.8646963749711383,0.001
