epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
1,0.8621917784697317,0.6563943343939238,0.4343132275036041,0.7975063495728469,0.001
2,0.4131089390137841,0.8223339833726778,0.30156984978255047,0.8730085430616485,0.001
3,0.3368804393290103,0.8597711177255466,0.2958160271974338,0.8743939044100669,0.001
4,0.30342968320297187,0.8721646310171405,0.2664178761371259,0.8866312629877626,0.001
5,0.28178784021799735,0.881761264497588,0.23586746002284023,0.8986377280073886,0.001
6,0.2652461471363564,0.8874063430154983,0.2275542914523343,0.9030247056107135,0.001
7,0.2550605961451305,0.8925895514728523,0.22222436617013078,0.9039482798429924,0.001
8,0.24621669367073523,0.8969259981525197,0.21150425527544997,0.9081043638882476,0.001
9,0.24463936935505753,0.8965154469875808,0.20115905215340546,0.9106441930270145,0.001
10,0.22928743064250592,0.9030072872831777,0.19747718147154192,0.9168783190948973,0.001
11,0.22224421565945995,0.907523350097506,0.20735402962636298,0.9104132994689448,0.001
12,0.2232713182701977,0.9077799445755927,0.18913901082034254,0.9168783190948973,0.001
13,0.2195353635564717,0.9070614800369496,0.17954876811461426,0.9242669129531286,0.001
14,0.20982884026449783,0.912449964076773,0.18742264452500257,0.9244978065111983,0.001
15,0.211636451517766,0.9110130349994868,0.17636038207809634,0.9274994227661049,0.001
