model,accuracy,macro_precision,macro_recall,macro_f1,training_seconds,best_epoch,parameters,device,gpu
MLP,0.9266580454461482,0.9612713664983504,0.9617963397962972,0.9613854219427087,17.436764399999447,15,249744,cuda:0,NVIDIA GeForce RTX 4070
1D-CNN,0.9188989469794938,0.9552868456731678,0.9539746436522498,0.9543326675784656,19.831051900000602,15,291472,cuda:0,NVIDIA GeForce RTX 4070
LSTM,0.7185479401440975,0.664294919229623,0.6990902843758657,0.6613767932841144,19.613149599999815,15,69136,cuda:0,NVIDIA GeForce RTX 4070
CNN-LSTM,0.8680029558470349,0.9175956698416539,0.9290430611286582,0.9221054815155629,17.24735320000036,13,34576,cuda:0,NVIDIA GeForce RTX 4070
