epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
1,0.730762128496909,0.7222364774710048,0.3854307595066704,0.8330639575155853,0.001
2,0.366005999577262,0.8512008621574464,0.30798232514790536,0.8813207111521588,0.001
3,0.3148599750762185,0.8750898080673304,0.28023071406455163,0.8924036019395059,0.001
4,0.2950829243398136,0.8831725341270655,0.2683023245718319,0.899099515123528,0.001
5,0.2792479682480128,0.8895104177358103,0.25451333508414997,0.8960978988686216,0.001
6,0.26482512721667406,0.8920507030688699,0.23937474956374277,0.9034864927268529,0.001
7,0.2570693683210712,0.8960792363748332,0.22909805794506474,0.902562918494574,0.001
8,0.2507541696173472,0.8964384686441548,0.2438284382998214,0.8960978988686216,0.001
9,0.2488962078680557,0.8987221594991276,0.22062475153932504,0.9064881089817594,0.001
10,0.23454665573414965,0.903623114030586,0.2221196270434913,0.9039482798429924,0.001
11,0.23141795034637616,0.9057271887508981,0.22571346759314462,0.9074116832140383,0.001
12,0.22881944302439286,0.9057528481987067,0.20832869639313542,0.9124913414915724,0.001
13,0.2269080107347023,0.9051370214512984,0.21914567417331612,0.9053336411914108,0.001
14,0.22008161712944488,0.9093451708919225,0.20268690332519185,0.9145693835141999,0.001
15,0.21966863100342496,0.9095247870265832,0.19965610829491837,0.9154929577464789,0.001
