epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
1,1.8378414055606882,0.3648773478394745,1.543113157149689,0.42969291156776723,0.001
2,1.2200861342031828,0.5224006979369804,0.9957233890185756,0.5659201108289079,0.001
3,1.155483654382769,0.547213383967977,1.0069929235418078,0.5684599399676749,0.001
4,1.2081288879722538,0.5108796058708817,1.079653266229852,0.5513738166705149,0.001
5,1.2174913570595316,0.5324848609257928,1.3241592599403718,0.5054259986146387,0.0005
6,1.1060915425378512,0.5664579698244894,0.936254431196185,0.6033248672362042,0.0005
7,0.9148725750912977,0.6137996510315098,0.8272287092949826,0.6559685984761026,0.0005
8,0.8853310000770429,0.622523863286462,0.8081052127982143,0.6495035788501501,0.0005
9,0.7969470189775907,0.6569845016935235,0.773947182276375,0.6557377049180327,0.0005
10,0.8440646626346595,0.6396130555270451,0.8429564787399628,0.6308012006465019,0.0005
11,0.911397826447693,0.6164425741558042,1.0779099887470482,0.5310551835603786,0.0005
12,0.861799000818896,0.6294262547469979,0.7329466690562444,0.7155391364580929,0.0005
13,0.7475320249444146,0.6886739197372472,0.7264626382185003,0.6903717386284922,0.0005
14,0.8356835400068355,0.6673509186082316,0.7499962480314277,0.7220041560840452,0.0005
15,0.7124539747211731,0.7261367135379246,0.6776780577213487,0.7157700300161626,0.0005
